event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
RUS22699,"06 September 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Russia (2000-) Air Force","Military Forces of Russia (2000-)",1,"Military Forces of Ukraine (2019-)",,8,18,,643,Europe,Russia,Kursk,Sudzhanskiy,,Maryevka,51.3763,35.2378,2,ITAR-TASS,National,"On 6 September 2024, Russian military carried out air strikes and shelled with (likely) artillery the Ukrainian military groups that were attempting to attack the Russian defensive positions near Maryevka (Sudzhanskiy, Kursk). According to the Russian MoD, during battles air strikes and shelling in, Matveevka, Olgovka, Borki, Komarovka, Maryevka (coded separately). Ukrainian military lost up to 30 servicemen, 3 armored vehicles and 5 cars. [Russian MoD reported 30 fatalities. Coded as 10 fatalities split across 5 events. 2 fatalities coded to this event].",2,,1725991728
RUS22469,"06 September 2024",2024,2,"Strategic developments","Strategic developments",Arrests,"Police Forces of Russia (2000-)","Cossacks (Russia)",1,"Civilians (International)",,7,17,,643,Europe,Russia,Krasnodar,Krasnodar,,Krasnodar,45.0448,38.976,1,"Caucasian Knot",Subnational,"Around 6 September 2024 (as reported), during a raid on construction sites conducted by police and members of Cossacks identity group, 22 migrants were detained in Krasnodar (Krasnodar). All 22 of the migrants were charged with illegal work in Russia, and 13 were charged with violating entry rules into the country.",0,,1726009833
RUS22470,"06 September 2024",2024,2,"Strategic developments","Strategic developments",Arrests,"Police Forces of Russia (2000-)","Military Forces of Russia (2000-) National Guard",1,"Civilians (International)",,7,17,,643,Europe,Russia,Krasnodar,Sochi,,Sochi,43.5992,39.7257,1,"Caucasian Knot",Subnational,"Around 6 September 2024 (as reported), during a raid on construction sites conducted by police and national guard, 231 migrants were detained in Sochi (Sochi, Krasnodar). All of the migrants were fingerprinted. 8 of them were charged with various offences and face deportation.",0,,1726009833
RUS22638,"06 September 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Russia (2000-)",,1,"Military Forces of Ukraine (2019-) Air Force",,8,18,,643,Europe,Russia,Belgorod,Belgorod,,Belgorod,50.6107,36.5802,3,ITAR-TASS,National,"Interception: On 6 September 2024, Russian military shot down 1 Ukrainian drone over the Belgorod Region (coded as Belgorod (Belgorod)). No casualties.",0,,1726009834
RUS22639,"06 September 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Military Forces of Russia (2000-)",,1,"Military Forces of Ukraine (2019-) Air Force","Military Forces of Ukraine (2019-)",8,18,,643,Europe,Russia,Kursk,Kursk,,Kursk,51.7373,36.1873,3,ITAR-TASS,National,"Interception: On 6 September 2024, Russian military shot down 1 Ukrainian missile and 1 drone over the Kursk Region (coded as Kursk (Kursk)). No casualties.",0,,1726009834
RUS22640,"06 September 2024",2024,1,"Strategic developments","Strategic developments","Disrupted weapons use","Police Forces of Russia (2000-) State Emergency Service",,1,"Unidentified Military Forces",,8,18,,643,Europe,Russia,Kursk,Kursk,,Kursk,51.7373,36.1873,3,"Komsomolskaya Pravda",National,"Defusal: On 6 September 2024, pyrotechnic units of the Russian State Emergency Service destroyed 12 UXO's in 3 districts of Kursk Region (coded as Kursk (Kursk)).",0,,1726009834
RUS22664,"06 September 2024",2024,1,"Political violence","Explosions/Remote violence","Shelling/artillery/missile attack","Military Forces of Ukraine (2019-)",,8,,,0,80,,643,Europe,Russia,Belgorod,Volokonovskiy,,Tishanka,50.3897,37.5073,1,Telegram,"New media","On 6 September 2024, Ukrainian military shelled 1 time with (likely) artillery the village of Tishanka (Volokonovskiy, Belgorod). No casualties, power lines were damaged.",0,,1726009834
RUS22665,"06 September 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Ukraine (2019-) Air Force",,8,,,0,80,,643,Europe,Russia,Belgorod,Volokonovskiy,,Novoye,50.4333,37.6166,1,Telegram,"New media","On 6 September 2024, 1 Ukrainian kamikaze-drone struck a house in the village of Novoye (Volokonovskiy, Belgorod). No casualties, the house was damaged.",0,,1726009834
RUS22666,"06 September 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Ukraine (2019-) Air Force",,8,,,0,80,,643,Europe,Russia,Belgorod,Borisovskiy,,Berezovka,50.5061,35.8776,1,Telegram,"New media","On 6 September 2024, 1 Ukrainian kamikaze-drone struck a house in the village of Berezovka (Borisovskiy, Belgorod). No casualties, the house was damaged.",0,,1726009834
RUS22667,"06 September 2024",2024,1,"Political violence","Explosions/Remote violence","Air/drone strike","Military Forces of Ukraine (2019-) Air Force","Military Forces of Ukraine (2019-)",8,,,0,80,,643,Europe,Russia,Belgorod,Belgorodskiy,,Razumnoe,50.5348,36.6841,1,Telegram,"New media","On 6 September 2024, Ukrainian military carried out 3 drone strikes and shelled 1 time with 5 (likely) artillery shells unidentified targets in 4 locations across Belgorodskiy district, including the village of Razumnoe (Belgorodskiy, Belgorod). Across 4 locations: No casualties, 1 abandoned house, 1 warehouse and 1 outbuilding burned down, Russian military shot down 1 drone.",0,,1726009834
